siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
85,大城,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 13:00",1.1
35,二林,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 13:00",314
35,二林,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 13:00",2.2
35,二林,彰化縣,38,相對濕度,RH,%,"2024-09-02 13:00",68
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 13:00",15
35,二林,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 13:00",1.93
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 13:00",0
35,二林,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 13:00",34.1
35,二林,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 13:00",324
35,二林,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 13:00",2.7
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 13:00",0
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 13:00",1.9
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 13:00",2.9
35,二林,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 13:00",1
35,二林,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 13:00",3.9
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 13:00",29
35,二林,彰化縣,3,臭氧,O3,ppb,"2024-09-02 13:00",51.9
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 13:00",0.2
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 13:00",1.7
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 13:00",340
34,線西,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 13:00",3.3
34,線西,彰化縣,38,相對濕度,RH,%,"2024-09-02 13:00",75
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 13:00",14
34,線西,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 13:00",1.89
34,線西,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 13:00",0
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 13:00",32.9
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 13:00",347
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 13:00",3.2
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 13:00",0
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 13:00",1.88
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 13:00",1.8
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 13:00",0.9
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 13:00",2.7
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 13:00",19
34,線西,彰化縣,3,臭氧,O3,ppb,"2024-09-02 13:00",51.9
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 13:00",1
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 13:00",336
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 13:00",1.9
33,彰化,彰化縣,38,相對濕度,RH,%,"2024-09-02 13:00",64
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 13:00",x
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 13:00",2.02
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 13:00",0
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 13:00",33.6
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 13:00",348
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 13:00",3.1
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 13:00",0
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 13:00",2.02
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 13:00",5.3
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 13:00",1.1
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 13:00",6.4
85,大城,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 13:00",0
