Time,kpt,Temperature,Humidity,Rain,day_off,Hour,Minute,label
2024-11-12,637,25.1,91,0.0,0,19,0,1
2024-11-12,649,25.1,91,0.0,0,19,15,1
2024-11-12,675,25.1,91,0.0,0,19,30,1
2024-11-12,635,25.1,91,0.0,0,19,45,1
2024-11-12,619,25.0,91,0.0,0,20,0,1
2024-11-12,615,25.0,91,0.0,0,20,15,1
2024-11-12,608,25.0,91,0.0,0,20,30,1
2024-11-12,615,25.0,91,0.0,0,20,45,1
2024-11-12,590,25.2,90,0.0,0,21,0,1
2024-11-12,581,25.2,90,0.0,0,21,15,1
2024-11-12,572,25.2,90,0.0,0,21,30,1
2024-11-12,571,25.2,90,0.0,0,21,45,1
2024-11-12,586,24.9,91,0.0,0,22,0,1
2024-11-12,600,24.9,91,0.0,0,22,15,1
2024-11-12,594,24.9,91,0.0,0,22,30,1
2024-11-12,560,24.9,91,0.0,0,22,45,1
2024-11-12,550,24.8,93,0.0,0,23,0,1
2024-11-12,544,24.8,93,0.0,0,23,15,1
2024-11-12,564,24.8,93,0.0,0,23,30,1
2024-11-12,542,24.8,93,0.0,0,23,45,1
2024-11-13,516,24.8,94,0.0,0,0,0,1
2024-11-13,541,24.8,94,0.0,0,0,15,1
2024-11-13,500,24.8,94,0.0,0,0,30,1
2024-11-13,541,24.8,94,0.0,0,0,45,1
2024-11-13,522,24.6,93,0.0,0,1,0,1
2024-11-13,495,24.6,93,0.0,0,1,15,1
2024-11-13,448,24.6,93,0.0,0,1,30,1
2024-11-13,453,24.6,93,0.0,0,1,45,1
2024-11-13,471,24.8,94,0.0,0,2,0,1
2024-11-13,489,24.8,94,0.0,0,2,15,1
2024-11-13,480,24.8,94,0.0,0,2,30,1
2024-11-13,494,24.8,94,0.0,0,2,45,1
2024-11-13,472,25.0,91,0.0,0,3,0,1
2024-11-13,427,25.0,91,0.0,0,3,15,1
2024-11-13,427,25.0,91,0.0,0,3,30,1
2024-11-13,409,25.0,91,0.0,0,3,45,1
2024-11-13,397,25.3,91,0.0,0,4,0,1
2024-11-13,397,25.3,91,0.0,0,4,15,1
2024-11-13,399,25.3,91,0.0,0,4,30,1
2024-11-13,382,25.3,91,0.0,0,4,45,1
2024-11-13,373,25.4,94,0.0,0,5,0,1
2024-11-13,370,25.4,94,0.0,0,5,15,1
2024-11-13,366,25.4,94,0.0,0,5,30,1
2024-11-13,426,25.4,94,0.0,0,5,45,1
2024-11-13,431,24.8,94,0.0,0,6,0,1
2024-11-13,400,24.8,94,0.0,0,6,15,1
2024-11-13,363,24.8,94,0.0,0,6,30,1
2024-11-13,350,24.8,94,0.0,0,6,45,1
2024-11-13,328,24.8,94,0.0,0,7,0,1
2024-11-13,327,24.8,94,0.0,0,7,15,1
2024-11-13,334,24.8,94,0.0,0,7,30,1
2024-11-13,329,24.8,94,0.0,0,7,45,1
2024-11-13,368,25.0,92,0.0,0,8,0,1
2024-11-13,349,25.0,92,0.0,0,8,15,1
2024-11-13,307,25.0,92,0.0,0,8,30,1
2024-11-13,380,25.0,92,0.0,0,8,45,1
2024-11-13,457,27.3,79,0.0,0,9,0,1
2024-11-13,351,27.3,79,0.0,0,9,15,1
2024-11-13,391,27.3,79,0.0,0,9,30,1
2024-11-13,501,27.3,79,0.0,0,9,45,1
2024-11-13,416,27.9,76,0.0,0,10,0,1
2024-11-13,378,27.9,76,0.0,0,10,15,1
2024-11-13,324,27.9,76,0.0,0,10,30,1
2024-11-13,309,27.9,76,0.0,0,10,45,1
2024-11-13,422,29.3,70,0.0,0,11,0,1
2024-11-13,497,29.3,70,0.0,0,11,15,1
2024-11-13,530,29.3,70,0.0,0,11,30,1
2024-11-13,487,29.3,70,0.0,0,11,45,1
2024-11-13,423,29.7,70,0.0,0,12,0,1
2024-11-13,466,29.7,70,0.0,0,12,15,1
2024-11-13,507,29.7,70,0.0,0,12,30,1
2024-11-13,447,29.7,70,0.0,0,12,45,1
2024-11-13,470,29.2,73,0.0,0,13,0,1
2024-11-13,559,29.2,73,0.0,0,13,15,1
2024-11-13,531,29.2,73,0.0,0,13,30,1
2024-11-13,496,29.2,73,0.0,0,13,45,1
2024-11-13,456,29.2,72,0.0,0,14,0,1
2024-11-13,487,29.2,72,0.0,0,14,15,1
2024-11-13,524,29.2,72,0.0,0,14,30,1
2024-11-13,546,29.2,72,0.0,0,14,45,1
2024-11-13,528,28.8,73,0.0,0,15,0,1
2024-11-13,556,28.8,73,0.0,0,15,15,1
2024-11-13,618,28.8,73,0.0,0,15,30,1
2024-11-13,620,28.8,73,0.0,0,15,45,1
2024-11-13,618,27.8,79,0.0,0,16,0,1
2024-11-13,592,27.8,79,0.0,0,16,15,1
2024-11-13,606,27.8,79,0.0,0,16,30,1
2024-11-13,659,27.8,79,0.0,0,16,45,1
2024-11-13,612,26.5,88,0.0,0,17,0,1
2024-11-13,595,26.5,88,0.0,0,17,15,1
2024-11-13,581,26.5,88,0.0,0,17,30,1
2024-11-13,616,26.5,88,0.0,0,17,45,1
2024-11-13,659,26.0,91,0.0,0,18,0,1
2024-11-13,663,26.0,91,0.0,0,18,15,1
2024-11-13,654,26.0,91,0.0,0,18,30,1
2024-11-13,662,26.0,91,0.0,0,18,45,1
2024-11-13,642,26.0,91,0.0,0,19,0,1
2024-11-13,678,26.0,91,0.0,0,19,15,1
2024-11-13,711,26.0,91,0.0,0,19,30,1
2024-11-13,691,26.0,91,0.0,0,19,45,1
2024-11-13,672,25.5,93,0.0,0,20,0,1
2024-11-13,684,25.5,93,0.0,0,20,15,1
2024-11-13,671,25.5,93,0.0,0,20,30,1
2024-11-13,655,25.5,93,0.0,0,20,45,1
2024-11-13,635,25.4,94,0.0,0,21,0,1
2024-11-13,646,25.4,94,0.0,0,21,15,1
2024-11-13,643,25.4,94,0.0,0,21,30,1
2024-11-13,596,25.4,94,0.0,0,21,45,1
2024-11-13,568,25.2,95,0.0,0,22,0,1
2024-11-13,603,25.2,95,0.0,0,22,15,1
2024-11-13,614,25.2,95,0.0,0,22,30,1
2024-11-13,628,25.2,95,0.0,0,22,45,1
2024-11-13,625,24.8,91,0.0,0,23,0,1
2024-11-13,596,24.8,91,0.0,0,23,15,1
2024-11-13,585,24.8,91,0.0,0,23,30,1
2024-11-13,562,24.8,91,0.0,0,23,45,1
2024-11-14,779,24.6,92,0.0,0,0,0,1
2024-11-14,780,24.6,92,0.0,0,0,15,1
2024-11-14,782,24.6,92,0.0,0,0,30,1
2024-11-14,776,24.6,92,0.0,0,0,45,1
2024-11-14,783,24.2,93,0.0,0,1,0,1
2024-11-14,778,24.2,93,0.0,0,1,15,1
2024-11-14,749,24.2,93,0.0,0,1,30,1
2024-11-14,632,24.2,93,0.0,0,1,45,1
2024-11-14,617,23.9,94,0.0,0,2,0,1
2024-11-14,624,23.9,94,0.0,0,2,15,1
2024-11-14,623,23.9,94,0.0,0,2,30,1
2024-11-14,614,23.9,94,0.0,0,2,45,1
2024-11-14,615,23.8,95,0.0,0,3,0,1
2024-11-14,644,23.8,95,0.0,0,3,15,1
2024-11-14,636,23.8,95,0.0,0,3,30,1
2024-11-14,590,23.8,95,0.0,0,3,45,1
2024-11-14,607,23.8,95,0.0,0,4,0,1
2024-11-14,612,23.8,95,0.0,0,4,15,1
2024-11-14,561,23.8,95,0.0,0,4,30,1
2024-11-14,542,23.8,95,0.0,0,4,45,1
2024-11-14,521,23.9,95,0.0,0,5,0,1
2024-11-14,517,23.9,95,0.0,0,5,15,1
2024-11-14,529,23.9,95,0.0,0,5,30,1
2024-11-14,550,23.9,95,0.0,0,5,45,1
2024-11-14,381,23.9,95,0.0,0,6,0,1
2024-11-14,369,23.9,95,0.0,0,6,15,1
2024-11-14,356,23.9,95,0.0,0,6,30,1
2024-11-14,336,23.9,95,0.0,0,6,45,1
2024-11-14,334,23.8,96,0.0,0,7,0,1
2024-11-14,324,23.8,96,0.0,0,7,15,1
2024-11-14,331,23.8,96,0.0,0,7,30,1
2024-11-14,295,23.8,96,0.0,0,7,45,1
2024-11-14,304,24.0,95,0.0,0,8,0,1
2024-11-14,300,24.0,95,0.0,0,8,15,1
2024-11-14,315,24.0,95,0.0,0,8,30,1
2024-11-14,357,24.0,95,0.0,0,8,45,1
2024-11-14,409,25.4,94,0.0,0,9,0,1
2024-11-14,436,25.4,94,0.0,0,9,15,1
2024-11-14,451,25.4,94,0.0,0,9,30,1
2024-11-14,460,25.4,94,0.0,0,9,45,1
2024-11-14,447,26.4,88,0.0,0,10,0,1
2024-11-14,425,26.4,88,0.0,0,10,15,1
2024-11-14,362,26.4,88,0.0,0,10,30,1
2024-11-14,298,26.4,88,0.0,0,10,45,1
2024-11-14,410,27.8,79,0.0,0,11,0,1
2024-11-14,342,27.8,79,0.0,0,11,15,1
2024-11-14,433,27.8,79,0.0,0,11,30,1
2024-11-14,528,27.8,79,0.0,0,11,45,1
2024-11-14,496,28.1,77,0.0,0,12,0,1
2024-11-14,529,28.1,77,0.0,0,12,15,1
2024-11-14,513,28.1,77,0.0,0,12,30,1
2024-11-14,445,28.1,77,0.0,0,12,45,1
2024-11-14,436,27.5,85,0.0,0,13,0,1
2024-11-14,476,27.5,85,0.0,0,13,15,1
2024-11-14,523,27.5,85,0.0,0,13,30,1
2024-11-14,506,27.5,85,0.0,0,13,45,1
2024-11-14,528,26.9,87,0.0,0,14,0,1
2024-11-14,556,26.9,87,0.0,0,14,15,1
2024-11-14,593,26.9,87,0.0,0,14,30,1
2024-11-14,610,26.9,87,0.0,0,14,45,1
2024-11-14,646,26.4,88,0.0,0,15,0,1
2024-11-14,630,26.4,88,0.0,0,15,15,1
2024-11-14,578,26.4,88,0.0,0,15,30,1
2024-11-14,599,26.4,88,0.0,0,15,45,1
2024-11-14,615,26.5,87,0.0,0,16,0,1
2024-11-14,637,26.5,87,0.0,0,16,15,1
2024-11-14,619,26.5,87,0.0,0,16,30,1
2024-11-14,606,26.5,87,0.0,0,16,45,1
2024-11-14,572,26.5,86,0.0,0,17,0,1
2024-11-14,541,26.5,86,0.0,0,17,15,1
2024-11-14,562,26.5,86,0.0,0,17,30,1
2024-11-14,604,26.5,86,0.0,0,17,45,1
2024-11-14,582,26.0,90,0.0,0,18,0,1
2024-11-14,547,26.0,90,0.0,0,18,15,1
2024-11-14,517,26.0,90,0.0,0,18,30,1
2024-11-14,500,26.0,90,0.0,0,18,45,1
2024-11-14,528,25.4,94,0.0,0,19,0,1
2024-11-14,596,25.4,94,0.0,0,19,15,1
2024-11-14,602,25.4,94,0.0,0,19,30,1
2024-11-14,606,25.4,94,0.0,0,19,45,1
2024-11-14,626,25.1,95,0.0,0,20,0,1
2024-11-14,628,25.1,95,0.0,0,20,15,1
2024-11-14,619,25.1,95,0.0,0,20,30,1
2024-11-14,598,25.1,95,0.0,0,20,45,1
2024-11-14,588,25.1,91,0.0,0,21,0,1
2024-11-14,619,25.1,91,0.0,0,21,15,1
2024-11-14,620,25.1,91,0.0,0,21,30,1
2024-11-14,594,25.1,91,0.0,0,21,45,1
2024-11-14,572,24.8,92,0.0,0,22,0,1
2024-11-14,571,24.8,92,0.0,0,22,15,1
2024-11-14,569,24.8,92,0.0,0,22,30,1
2024-11-14,552,24.8,92,0.0,0,22,45,1
2024-11-14,552,24.8,92,0.0,0,23,0,1
2024-11-14,565,24.8,92,0.0,0,23,15,1
2024-11-14,603,24.8,92,0.0,0,23,30,1
2024-11-14,613,24.8,92,0.0,0,23,45,1
2024-11-15,750,24.8,92,0.0,0,0,0,1
2024-11-15,750,24.8,92,0.0,0,0,15,1
2024-11-15,734,24.8,92,0.0,0,0,30,1
2024-11-15,738,24.8,92,0.0,0,0,45,1
2024-11-15,744,24.8,91,0.0,0,1,0,1
2024-11-15,753,24.8,91,0.0,0,1,15,1
2024-11-15,766,24.8,91,0.0,0,1,30,1
2024-11-15,676,24.8,91,0.0,0,1,45,1
2024-11-15,661,24.7,92,0.0,0,2,0,1
2024-11-15,637,24.7,92,0.0,0,2,15,1
2024-11-15,624,24.7,92,0.0,0,2,30,1
2024-11-15,619,24.7,92,0.0,0,2,45,1
2024-11-15,605,24.5,93,0.0,0,3,0,1
2024-11-15,593,24.5,93,0.0,0,3,15,1
2024-11-15,608,24.5,93,0.0,0,3,30,1
2024-11-15,637,24.5,93,0.0,0,3,45,1
2024-11-15,620,24.4,93,0.0,0,4,0,1
2024-11-15,584,24.4,93,0.0,0,4,15,1
2024-11-15,565,24.4,93,0.0,0,4,30,1
2024-11-15,579,24.4,93,0.0,0,4,45,1
2024-11-15,551,24.3,93,0.0,0,5,0,1
2024-11-15,537,24.3,93,0.0,0,5,15,1
2024-11-15,565,24.3,93,0.0,0,5,30,1
2024-11-15,576,24.3,93,0.0,0,5,45,1
2024-11-15,402,24.5,93,0.0,0,6,0,1
2024-11-15,392,24.5,93,0.0,0,6,15,1
2024-11-15,386,24.5,93,0.0,0,6,30,1
2024-11-15,398,24.5,93,0.0,0,6,45,1
2024-11-15,388,24.3,93,0.0,0,7,0,1
2024-11-15,343,24.3,93,0.0,0,7,15,1
2024-11-15,326,24.3,93,0.0,0,7,30,1
2024-11-15,332,24.3,93,0.0,0,7,45,1
2024-11-15,378,24.8,91,0.0,0,8,0,1
2024-11-15,411,24.8,91,0.0,0,8,15,1
2024-11-15,416,24.8,91,0.0,0,8,30,1
2024-11-15,427,24.8,91,0.0,0,8,45,1
2024-11-15,423,25.6,90,0.0,0,9,0,1
2024-11-15,419,25.6,90,0.0,0,9,15,1
2024-11-15,413,25.6,90,0.0,0,9,30,1
2024-11-15,463,25.6,90,0.0,0,9,45,1
2024-11-15,281,26.1,88,0.0,0,10,0,1
2024-11-15,315,26.1,88,0.0,0,10,15,1
